image_id,face_idx,gender,age,male_score,female_score
14047,0,Male,25,52.718,55.07
14109,0,Female,29,77.08,81.289
14112,0,Female,32,83.982,84.785
14115,0,Female,33,85.087,85.817
14291,0,Male,19,77.677,80.525
14313,0,Male,22,71.381,74.908
14351,0,Female,85,72.52,72.658
14372,0,Male,23,60.166,65.532
14373,0,Female,23,56.173,58.202
14375,0,Female,18,76.536,80.738
14484,0,Male,29,84.399,85.186
14486,0,Male,26,89.354,89.49
14489,0,Male,20,85.365,88.836
14504,0,Male,23,90.731,90.385
14601,0,Female,20,59.326,58.064
14697,0,Male,36,80.229,84.832
14699,0,Male,25,81.415,84.704
14700,0,Male,26,76.449,76.854
14705,0,Male,31,62.887,65.33
14708,0,Male,22,67.674,65.442
14709,0,Male,22,67.701,65.454
14720,0,Male,27,62.949,60.76
14723,0,Male,30,66.116,66.773
14726,0,Female,20,65.235,64.548
14729,0,Male,26,79.494,79.238
14733,0,Male,26,70.532,72.715
14739,0,Male,27,81.532,79.783
14748,0,Male,28,76.838,81.018
14757,0,Male,21,76.835,79.188
14777,0,Male,71,66.453,64.263
14821,0,Male,59,53.914,56.434
14827,0,Male,27,77.016,80.111
14829,0,Female,36,65.63,65.678
14835,0,Male,22,83.411,83.689
14836,0,Male,20,70.537,75.914
14845,0,Male,21,80.075,80.649
14859,0,Male,32,74.909,80.684
14908,0,Female,39,64.661,63.519
14920,0,Female,24,63.977,65.427
14923,0,Female,30,86.692,87.882
14924,0,Female,21,83.542,81.905
14930,0,Female,32,75.191,72.346
14931,0,Female,25,82.853,83.991
14936,0,Female,17,85.034,86.974
14937,0,Female,21,80.715,78.373
14944,0,Female,25,74.367,75.266
15008,0,Male,24,71.784,72.93
15010,0,Male,26,73.352,78.546
15020,0,Female,16,60.943,62.874
15021,0,Male,24,77.856,77.599
15023,0,Male,25,71.923,75.933
15024,0,Male,22,65.157,68.78
15182,0,Male,39,64.951,68.076
15260,0,Male,34,70.886,67.759
15317,0,Female,21,67.182,61.208
15318,0,Female,24,73.103,72.041
15329,0,Female,21,81.667,79.352
15330,0,Female,27,82.882,77.921
15334,0,Female,27,79.307,79.489
15337,0,Female,26,66.62,63.229
15342,0,Female,23,73.376,82.502
15343,0,Female,24,67.311,78.114
15343,1,Female,21,63.963,67.065
15343,2,Female,24,70.489,75.502
15343,3,Female,23,65.704,73.078
15343,4,Female,24,61.52,66.47
15345,0,Female,25,69.797,72.413
