image_id,face_idx,race,gender,age_group,race_scores,gender_scores,age_scores
1593,face0,Indian,Male,3-9,[0.33143148 0.04412099 0.00429373 0.62015384],[0.5334755  0.46652442],"[1.2256197e-10 8.7867254e-01 6.4888263e-07 2.4263974e-07 1.7218686e-07
 1.4144579e-05 3.3687036e-02 8.2076780e-02 5.5484790e-03]"
1902,face0,Asian,Female,10-19,[2.2110933e-02 2.4753677e-05 9.7760898e-01 2.5524237e-04],[0.26917455 0.7308254 ],"[1.2284177e-08 3.8820031e-04 5.7691699e-01 1.7617389e-05 5.7413983e-03
 6.7313962e-02 2.9151899e-01 5.4654382e-02 3.4484412e-03]"
2227,face1,Asian,Female,50-59,[1.7272207e-03 2.8232552e-04 9.9734211e-01 6.4830919e-04],[0.43352237 0.56647766],"[2.2303726e-09 9.1596521e-02 4.3351611e-05 4.3002177e-07 1.9977870e-04
 3.2606941e-01 5.6434256e-01 1.7549647e-02 1.9827719e-04]"
2227,face0,Asian,Female,10-19,[3.6829853e-01 4.2088056e-04 6.2996078e-01 1.3198574e-03],[0.42757878 0.5724212 ],"[8.9724281e-09 8.2064822e-04 4.3602175e-01 2.9977960e-05 1.6912397e-03
 6.1101958e-02 4.0804154e-01 8.7660417e-02 4.6324725e-03]"
2307,face0,White,Female,10-19,[0.43611577 0.00315824 0.18303956 0.3776864 ],[0.15445082 0.84554917],"[8.8116410e-11 5.0312747e-06 5.9243721e-01 4.2361073e-08 3.2758497e-04
 4.5255404e-02 3.3334669e-01 2.8401248e-02 2.2676888e-04]"
2369,face0,Asian,Female,10-19,[5.0530294e-03 5.9470776e-06 9.9489588e-01 4.5108474e-05],[0.23334277 0.76665723],"[8.3331217e-11 4.9836071e-06 5.4519856e-01 9.5094713e-08 4.8161517e-05
 1.9941283e-02 3.8576135e-01 4.8426427e-02 6.1906740e-04]"
2685,face0,White,Female,30-39,[9.5839417e-01 6.2718887e-06 4.0968675e-02 6.3090702e-04],[0.28467774 0.71532226],"[9.6757782e-11 2.6785673e-04 2.9037107e-02 6.1759475e-04 7.1952450e-01
 2.2006239e-01 2.9866530e-02 5.9654587e-04 2.7479176e-05]"
2685,face1,White,Female,30-39,[9.9418318e-01 2.2452150e-06 5.6168241e-03 1.9776593e-04],[0.41942295 0.5805771 ],"[2.4584557e-09 1.0270877e-02 3.1421389e-03 1.3600519e-02 8.2236534e-01
 1.3948472e-01 9.8555991e-03 1.0944612e-03 1.8626807e-04]"
2688,face1,White,Female,50-59,[9.7972000e-01 2.9745037e-04 1.5351782e-02 4.6307151e-03],[0.3322425 0.6677575],"[2.23926055e-09 3.90026049e-04 2.32905835e-01 2.86915001e-05
 4.77796700e-03 1.17398225e-01 6.03755832e-01 3.95787172e-02
 1.16465171e-03]"
2688,face0,Asian,Female,50-59,[1.5885244e-01 1.1750204e-04 8.4094340e-01 8.6684646e-05],[0.24836786 0.7516321 ],"[3.4329659e-09 8.7635807e-04 3.0569449e-02 1.9078108e-05 1.1787723e-02
 4.5374015e-01 4.8168984e-01 2.1038361e-02 2.7902261e-04]"
3153,face0,Asian,Female,50-59,[1.2065360e-01 2.2163894e-04 8.7633240e-01 2.7923647e-03],[0.22184385 0.77815616],"[3.0572626e-12 9.2686719e-07 2.0378794e-01 4.5805861e-09 8.1786156e-06
 6.2713034e-02 7.1107113e-01 2.2355406e-02 6.3441694e-05]"
3309,face0,Asian,Female,50-59,[1.2194343e-01 1.3714802e-03 8.7612951e-01 5.5557280e-04],[0.21293792 0.7870621 ],"[2.3971042e-10 4.6509202e-05 1.8252015e-02 1.0733241e-06 1.1704920e-03
 2.6497388e-01 7.0583713e-01 9.6868528e-03 3.2067619e-05]"
3812,face0,Asian,Female,10-19,[4.2511843e-02 4.9325114e-04 9.4074649e-01 1.6248442e-02],[0.29730356 0.70269644],"[1.2141614e-09 5.2626350e-05 7.8382951e-01 2.3542292e-05 2.5862632e-03
 1.4788760e-02 1.7378645e-01 2.4366733e-02 5.6612276e-04]"
3812,face1,Asian,Female,50-59,[2.3510065e-02 4.6919071e-05 9.7603178e-01 4.1119705e-04],[0.19260015 0.80739987],"[6.8058809e-11 7.2631483e-06 1.6080673e-01 5.8989770e-07 1.0101199e-04
 6.3484609e-02 7.4663901e-01 2.8860556e-02 1.0024000e-04]"
4740,face0,Black,Male,60-69,[0.0016211  0.63293093 0.36136696 0.00408105],[0.5388778 0.4611222],"[1.7920772e-08 2.3716437e-03 2.3633581e-01 5.4874056e-07 3.2440599e-05
 8.1750359e-03 2.7645996e-01 4.1799077e-01 5.8633778e-02]"
4742,face0,Asian,Male,50-59,[7.5794778e-05 6.0152920e-04 9.9844182e-01 8.8092627e-04],[0.54440784 0.45559216],"[8.8431849e-09 2.5801782e-02 4.3047448e-03 1.0958571e-06 1.5072238e-04
 1.3016914e-01 7.3925829e-01 9.7158171e-02 3.1560180e-03]"
5174,face0,Asian,Female,50-59,[3.6770094e-04 1.9464893e-05 9.9946702e-01 1.4577126e-04],[0.4227753  0.57722473],"[3.6330818e-09 4.2957955e-04 1.6107479e-01 1.6060918e-07 4.4316935e-06
 1.2582241e-02 5.9309351e-01 2.1469823e-01 1.8117012e-02]"
5867,face0,Asian,Male,50-59,[0.326497   0.01913718 0.61152154 0.04284431],[0.5257866  0.47421336],"[1.3212863e-06 1.9889653e-02 1.0770998e-01 2.6659429e-04 4.2565558e-03
 4.6538413e-02 4.5224684e-01 3.1438005e-01 5.4710597e-02]"
6374,face0,Asian,Female,50-59,[4.7309636e-03 4.0918731e-04 9.9468052e-01 1.7936710e-04],[0.205654 0.794346],"[7.28090574e-11 8.23035589e-06 1.36839256e-01 2.08661163e-07
 3.64390318e-04 1.07548766e-01 7.36469269e-01 1.86949950e-02
 7.48198363e-05]"
6374,face1,Asian,Female,50-59,[1.8877195e-03 2.3448988e-04 9.9785435e-01 2.3513536e-05],[0.2471395 0.7528604],"[1.58150812e-10 9.08262155e-06 4.29554284e-01 3.65346779e-07
 1.12415386e-04 3.28413136e-02 4.92067456e-01 4.51605469e-02
 2.54558225e-04]"
6823,face0,White,Female,50-59,[9.7224689e-01 3.3145817e-04 2.7243681e-02 1.7798823e-04],[0.23546377 0.76453626],"[6.3897936e-11 6.1866581e-06 4.1674471e-01 1.2982188e-07 1.1504045e-04
 8.8837139e-02 4.7804809e-01 1.6070535e-02 1.7816329e-04]"
7524,face0,Asian,Female,10-19,[1.9701594e-02 1.2183699e-07 9.8029786e-01 4.5416732e-07],[0.3336423 0.6663577],"[3.8016486e-11 6.8664522e-05 4.8092321e-01 8.0811209e-04 5.7407454e-02
 1.9475783e-01 2.6276889e-01 3.1711184e-03 9.4693263e-05]"
8145,face0,White,Female,10-19,[9.3703717e-01 1.3500405e-05 6.2869124e-02 8.0241582e-05],[0.39477453 0.60522544],"[4.2463539e-09 4.4482117e-04 4.9509907e-01 2.6728781e-05 1.2543687e-02
 2.9266587e-01 1.7655644e-01 2.0904131e-02 1.7592487e-03]"
8457,face0,Asian,Male,50-59,[7.310486e-04 5.751137e-07 9.992332e-01 3.516746e-05],[0.5469816  0.45301843],"[1.3515315e-10 9.3112089e-02 6.9482689e-05 5.8703211e-08 1.6105041e-05
 6.8422668e-02 7.5032061e-01 8.6878113e-02 1.1807716e-03]"
9277,face0,Asian,Female,30-39,[1.0441637e-02 5.7878769e-06 9.8875916e-01 7.9343293e-04],[0.34362066 0.6563794 ],"[3.9088316e-11 8.5865040e-06 1.5002304e-01 1.5362881e-03 8.2027060e-01
 2.6444009e-02 1.6811276e-03 3.2572385e-05 3.7714540e-06]"
9785,face0,White,Female,50-59,[9.9895245e-01 2.9061153e-05 9.0273476e-04 1.1575174e-04],[0.46020433 0.5397957 ],"[1.7301560e-10 7.1648769e-02 5.0527233e-05 1.9719876e-07 5.6499663e-05
 1.3897103e-01 7.7078635e-01 1.8166410e-02 3.2024784e-04]"
10380,face0,Asian,Female,50-59,[2.370429e-03 9.718638e-06 9.880769e-01 9.542960e-03],[0.17513983 0.82486016],"[4.8188528e-12 5.5639807e-06 5.0295040e-02 4.2238732e-08 4.8359414e-04
 1.8277560e-01 7.5897551e-01 7.4528097e-03 1.1887345e-05]"
10390,face0,Asian,Female,10-19,[3.0559890e-03 4.5815864e-07 9.9692804e-01 1.5502652e-05],[0.2322904 0.7677097],"[7.7333729e-13 3.7065561e-07 5.8115381e-01 3.6223604e-08 2.0243710e-05
 2.7034407e-02 3.8212025e-01 9.6431645e-03 2.7706326e-05]"
10760,face0,White,Female,50-59,[9.3485856e-01 4.2496325e-05 6.4550407e-02 5.4852746e-04],[0.3117468  0.68825316],"[2.2492134e-08 3.2202017e-03 3.0882916e-01 4.8793305e-04 8.2060486e-02
 1.6704154e-01 3.8589311e-01 4.8817053e-02 3.6504876e-03]"
10760,face1,Asian,Male,50-59,[0.21235059 0.19881351 0.52814364 0.06069224],[0.50022286 0.49977723],"[1.35065929e-05 7.63010457e-02 1.02739625e-01 6.32814554e-05
 2.34621274e-03 1.53900072e-01 3.93707812e-01 1.99683130e-01
 7.12452456e-02]"
11145,face0,Asian,Female,40-49,[1.4507225e-01 1.6025221e-04 8.5438168e-01 3.8581484e-04],[0.3612224 0.6387776],"[7.6778757e-11 1.4063392e-02 2.1753604e-05 1.0117149e-07 2.7399333e-04
 5.6369287e-01 4.1659665e-01 5.3340029e-03 1.7154329e-05]"
